Array;Source Name;Cell_line;ClustGroup
5500994158987071513209_B12.cel;J132_EPB12P2_EM-2_Blood_906855;EM-2;7
5500994172383112813929_B12.cel;J132_EPB12P3_HCC2998_Intestine_905971;HCC2998;2
5500994158987071513207_B12.cel;J132_EPB12P5_SK-N-FI_Brain_688087;SK-N-FI;5
5500994172383112813928_B12.cel;J132_EPB12P6_JHH-4_Liver_1240158;JHH-4;4
5500994158987071513201_B12.cel;J132_EPB12P7_OVISE_Ovary_1240198;OVISE;2
5500994172383112813930_B12.cel;J132_EPB12P8_SCH_Stomach_909711;SCH;6
5500994173212120213068_C01.cel;J132_EPC01P10_TC-YIK_Cervix_946357;TC-YIK;6
5500994157493061613625_C01.cel;J132_EPC01P1_HeLa_Cervix_1298134;HeLa;2
5500994158987071513209_C01.cel;J132_EPC01P2_42-MG-BA_Brain_687561;42-MG-BA;4
5500994172383112813929_C01.cel;J132_EPC01P3_EFO-21_Ovary_911905;EFO-21;2
5500994158987071513202_C01.cel;J132_EPC01P4_KYSE-270_Esophagus_907319;KYSE-270;1
5500994158987071513207_C01.cel;J132_EPC01P5_MV-4-11_Blood_908156;MV-4-11;7
5500994172383112813928_C01.cel;J132_EPC01P6_MDA-MB-361_Breast_908121;MDA-MB-361;6
5500994172383112813930_C01.cel;J132_EPC01P8_NCI-H1838_Lung:NSCLC_687807;NCI-H1838;2
5500994172948120113978_C01.cel;J132_EPC01P9_SW756_cervix_724839;SW756;2
5500994173212120213068_C02.cel;J132_EPC02P10_SNU-283_large_intestine_1659929;SNU-283;2
5500994157493061613625_C02.cel;J132_EPC02P1_HMV-II_Skin_907058;HMV-II;3
5500994158987071513209_C02.cel;J132_EPC02P2_A375_Skin_906793;A375;3
5500994172383112813929_C02.cel;J132_EPC02P3_451Lu_Skin_1287706;451Lu;3
5500994158987071513202_C02.cel;J132_EPC02P4_KYSE-410_Esophagus_753574;KYSE-410;2
5500994158987071513207_C02.cel;J132_EPC02P5_MZ1-PC_Pancreas_753595;MZ1-PC;2
5500994172383112813928_C02.cel;J132_EPC02P6_SH-4_Skin_909713;SH-4;3
5500994158987071513201_C02.cel;J132_EPC02P7_RC-K8_Blood_1330995;RC-K8;8
5500994172383112813930_C02.cel;J132_EPC02P8_NCI-H2023_Lung_1240187;NCI-H2023;2
