Array;ClustGroup;Cell_line;Tissue;Tissue sub-type;Cell_line_Tissue;TCGA
5500994172383112813928_C10.cel;7;JURL-MK1;blood;chronic_myeloid_leukaemia;JURL-MK1_Blood_1327771;LCML
5500994172383112813928_C10.cel;7;JURL-MK1;blood;chronic_myeloid_leukaemia;JURL-MK1_Blood_1327771;LCML
5500994173603120813304_D11.cel;7;K-562;blood;chronic_myeloid_leukaemia;K-562_haematopoietic_and_lymphoid_tissue_905940;LCML
5500994173603120813304_D11.cel;7;K-562;blood;chronic_myeloid_leukaemia;K-562_haematopoietic_and_lymphoid_tissue_905940;LCML
5500994173603120813304_A10.cel;7;KARPAS-45;blood;lymphoblastic_leukemia;KARPAS-45_haematopoietic_and_lymphoid_tissue_907272;ALL
5500994173603120813304_A10.cel;7;KARPAS-45;blood;lymphoblastic_leukemia;KARPAS-45_haematopoietic_and_lymphoid_tissue_907272;ALL
5500994173212120213068_E05.cel;7;KASUMI-1;blood;acute_myeloid_leukaemia;KASUMI-1_Blood_907275;LAML
5500994173212120213068_E05.cel;7;KASUMI-1;blood;acute_myeloid_leukaemia;KASUMI-1_Blood_907275;LAML
5500994158987071513202_D04.cel;7;KCL-22;blood;chronic_myeloid_leukaemia;KCL-22_Blood_1330931;LCML
5500994158987071513202_D04.cel;7;KCL-22;blood;chronic_myeloid_leukaemia;KCL-22_Blood_1330931;LCML
5500994158987071513202_B04.cel;7;KE-37;blood;lymphoblastic_leukemia;KE-37_Blood_907277;ALL
5500994158987071513202_B04.cel;7;KE-37;blood;lymphoblastic_leukemia;KE-37_Blood_907277;ALL
5500994173603120813304_D10.cel;7;KG-1;blood;acute_myeloid_leukaemia;KG-1_haematopoietic_and_lymphoid_tissue_907278;LAML
5500994173603120813304_D10.cel;7;KG-1;blood;acute_myeloid_leukaemia;KG-1_haematopoietic_and_lymphoid_tissue_907278;LAML
5500994173212120213068_C05.cel;7;KMOE-2;blood;acute_myeloid_leukaemia;KMOE-2_Blood_907280;LAML
5500994173212120213068_C05.cel;7;KMOE-2;blood;acute_myeloid_leukaemia;KMOE-2_Blood_907280;LAML
