Cell_line;Tissue sub-type;Count;
EW-11;UNCLASSIFIED;bone;ewings_sarcoma
EW-11;UNCLASSIFIED;bone;ewings_sarcoma
EW-12;UNCLASSIFIED;bone;ewings_sarcoma
EW-13;UNCLASSIFIED;bone;ewings_sarcoma
EW-13;UNCLASSIFIED;bone;ewings_sarcoma
EW-16;UNCLASSIFIED;bone;ewings_sarcoma
EW-16;UNCLASSIFIED;bone;ewings_sarcoma
EW-18;UNCLASSIFIED;bone;ewings_sarcoma
EW-18;UNCLASSIFIED;bone;ewings_sarcoma
EW-22;UNCLASSIFIED;bone;ewings_sarcoma
EW-22;UNCLASSIFIED;bone;ewings_sarcoma
EW-24;UNCLASSIFIED;bone;ewings_sarcoma
EW-24;UNCLASSIFIED;bone;ewings_sarcoma
EW-3;UNCLASSIFIED;bone;ewings_sarcoma
EW-3;UNCLASSIFIED;bone;ewings_sarcoma
EW-7;UNCLASSIFIED;bone;ewings_sarcoma
EW-7;UNCLASSIFIED;bone;ewings_sarcoma
EoL-1-cell;UNCLASSIFIED;blood;haematopoietic_neoplasm_other
EoL-1-cell;UNCLASSIFIED;blood;haematopoietic_neoplasm_other
FADU;HNSC;aero_digestive_tract;head_and_neck
FADU;HNSC;aero_digestive_tract;head_and_neck
FLO-1;ESCA;aero_digestive_tract;oesophagus
FLO-1;ESCA;aero_digestive_tract;oesophagus
FTC-133;THCA;thyroid;thyroid
FTC-133;THCA;thyroid;thyroid
FU-OV-1;OV;urogenital_system;ovary
FU-OV-1;OV;urogenital_system;ovary
FU97;STAD;digestive_system;stomach
FU97;STAD;digestive_system;stomach
Farage;DLBC;blood;B_cell_lymphoma
Farage;DLBC;blood;B_cell_lymphoma
G-292-Clone-A141B1;UNCLASSIFIED;bone;osteosarcoma
G-292-Clone-A141B1;UNCLASSIFIED;bone;osteosarcoma
G-361;SKCM;skin;melanoma
G-361;SKCM;skin;melanoma
G-401;UNCLASSIFIED;kidney;kidney
G-401;UNCLASSIFIED;kidney;kidney
G-402;UNCLASSIFIED;soft_tissue;soft_tissue_other
G-402;UNCLASSIFIED;soft_tissue;soft_tissue_other
G-MEL;SKCM;skin;melanoma
G-MEL;SKCM;skin;melanoma
GA-10;UNCLASSIFIED;blood;Burkitt_lymphoma
GA-10;UNCLASSIFIED;blood;Burkitt_lymphoma
GAK;SKCM;skin;melanoma
GAK;SKCM;skin;melanoma
GAMG;LGG;nervous_system;glioma
GAMG;LGG;nervous_system;glioma
GB-1;GBM;nervous_system;glioma
GB-1;GBM;nervous_system;glioma
GCIY;STAD;digestive_system;stomach
GCIY;STAD;digestive_system;stomach
GCT;UNCLASSIFIED;soft_tissue;soft_tissue_other
GCT;UNCLASSIFIED;soft_tissue;soft_tissue_other
GDM-1;LAML;blood;acute_myeloid_leukaemia
GDM-1;LAML;blood;acute_myeloid_leukaemia
GI-1;LGG;nervous_system;glioma
GI-1;LGG;nervous_system;glioma
GI-ME-N;NB;nervous_system;neuroblastoma
GI-ME-N;NB;nervous_system;neuroblastoma
GMS-10;GBM;nervous_system;glioma
GMS-10;GBM;nervous_system;glioma
GOTO;NB;nervous_system;neuroblastoma
GOTO;NB;nervous_system;neuroblastoma
GP5d;COREAD;digestive_system;large_intestine
GP5d;COREAD;digestive_system;large_intestine
GR-ST;ALL;blood;lymphoblastic_leukemia
GR-ST;ALL;blood;lymphoblastic_leukemia
GRANTA-519;DLBC;blood;B_cell_lymphoma
GRANTA-519;DLBC;blood;B_cell_lymphoma
H-EMC-SS;UNCLASSIFIED;bone;chondrosarcoma
H-EMC-SS;UNCLASSIFIED;bone;chondrosarcoma
H3255;LUAD;lung;lung_NSCLC_adenocarcinoma
H3255;LUAD;lung;lung_NSCLC_adenocarcinoma
H4;LGG;nervous_system;glioma
H4;LGG;nervous_system;glioma
H9;UNCLASSIFIED;blood;lymphoid_neoplasm_other
H9;UNCLASSIFIED;blood;lymphoid_neoplasm_other
HA7-RCC;KIRC;kidney;kidney
HA7-RCC;KIRC;kidney;kidney
HAL-01;ALL;blood;lymphoblastic_leukemia
HAL-01;ALL;blood;lymphoblastic_leukemia
HARA;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
HARA;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
HC-1;UNCLASSIFIED;blood;hairy_cell_leukaemia
HC-1;UNCLASSIFIED;blood;hairy_cell_leukaemia
HCC-15;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
HCC-15;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
HCC-33;SCLC;lung;lung_small_cell_carcinoma
HCC-366;UNCLASSIFIED;lung;lung_NSCLC_not_specified
HCC-366;UNCLASSIFIED;lung;lung_NSCLC_not_specified
HCC-44;LUAD;lung;lung_NSCLC_adenocarcinoma
HCC-44;LUAD;lung;lung_NSCLC_adenocarcinoma
HCC-78;LUAD;lung;lung_NSCLC_adenocarcinoma
HCC-78;LUAD;lung;lung_NSCLC_adenocarcinoma
HCC-827;LUAD;lung;lung_NSCLC_adenocarcinoma
HCC-827;LUAD;lung;lung_NSCLC_adenocarcinoma
HCC1143;BRCA;breast;breast
HCC1143;BRCA;breast;breast
HCC1187;BRCA;breast;breast
HCC1187;BRCA;breast;breast
HCC1395;BRCA;breast;breast
HCC1395;BRCA;breast;breast
HCC1419;BRCA;breast;breast
HCC1419;BRCA;breast;breast
HCC1428;BRCA;breast;breast
HCC1428;BRCA;breast;breast
HCC1500;BRCA;breast;breast
HCC1500;BRCA;breast;breast
HCC1569;BRCA;breast;breast
HCC1569;BRCA;breast;breast
HCC1599;BRCA;breast;breast
HCC1599;BRCA;breast;breast
HCC1806;UNCLASSIFIED;breast;breast
HCC1806;UNCLASSIFIED;breast;breast
HCC1937;BRCA;breast;breast
HCC1937;BRCA;breast;breast
HCC1954;BRCA;breast;breast
HCC1954;BRCA;breast;breast
HCC202;BRCA;breast;breast
HCC202;BRCA;breast;breast
HCC2157;BRCA;breast;breast
HCC2157;BRCA;breast;breast
HCC2218;BRCA;breast;breast
HCC2218;BRCA;breast;breast
HCC2998;COREAD;digestive_system;large_intestine
HCC2998;COREAD;digestive_system;large_intestine
HCC38;BRCA;breast;breast
HCC38;BRCA;breast;breast
HCC70;BRCA;breast;breast
HCC70;BRCA;breast;breast
HCE-4;ESCA;aero_digestive_tract;oesophagus
HCT-116;COREAD;digestive_system;large_intestine
HCT-116;COREAD;digestive_system;large_intestine
HCT-15;COREAD;digestive_system;large_intestine
HCT-15;COREAD;digestive_system;large_intestine
